year,JMpctBin,j-25-00,j00-10,j11-20,j21-30,j31-40,j41-50,j51-60,j61-70,j71-80,j81-90,j91-100
2014,j-25-00,1236420,,,,,,,,,,
2014,j00-10,0,293,81,13,2,0,0,0,0,0,0
2014,j11-20,0,9030,5372,545,76,7,1,1,0,0,0
2014,j21-30,0,9310,17890,5626,558,60,13,4,0,0,0
2014,j31-40,0,1938,11953,15912,4465,358,23,5,0,0,0
2014,j41-50,0,296,1996,8016,7662,1779,105,7,1,0,0
2014,j51-60,0,62,162,1206,4054,3296,780,32,0,0,0
2014,j61-70,0,11,14,54,666,1949,1358,282,8,0,0
2014,j71-80,0,3,3,3,32,266,703,557,85,1,0
2014,j81-90,0,1,0,0,0,16,56,199,202,26,0
2014,j91-100,0,0,0,1,0,0,1,10,53,29,1
2013,j-25-00,1144029,,,,,,,,,,
2013,j00-10,0,224,30,6,1,0,0,0,0,0,0
2013,j11-20,0,14781,3926,352,55,14,0,1,0,0,0
2013,j21-30,0,13869,12297,2670,199,30,6,4,0,0,0
2013,j31-40,0,4179,13304,11879,2157,141,12,3,1,0,0
2013,j41-50,0,678,2938,8348,5478,869,30,3,0,0,0
2013,j51-60,0,138,322,2052,4502,2418,308,7,0,0,0
2013,j61-70,0,39,19,205,1280,2146,1031,116,5,0,0
2013,j71-80,0,10,1,12,126,622,913,434,60,0,0
2013,j81-90,0,1,0,1,0,25,159,287,175,25,3
2013,j91-100,0,0,0,0,0,0,1,8,20,15,0
